#  GBr_GRr          G           Gapp
     2.45359      9.53588      15.1975 
    0.805938      4.55732      10.2189 
      2.5278       9.6337      15.2953 
     3.44541      12.5619      18.2235 
     3.13998      12.0598      17.7214 
    0.893413      4.93565      10.5972 
      3.0992      11.2555      16.9171 
     2.87698      10.6282      16.2898 
     3.05465      11.2356      16.8972 
     3.26969      13.3641      19.0256 
     3.27316      13.0129      18.6745 
     2.64685      9.89706      15.5586 
     2.95403       11.027      16.6886 
      2.5287       8.7793      14.4409 
      3.2725      12.0666      17.7282 
     2.92542      14.4408      20.1024 
     2.89041      10.4898      16.1514 
     2.72234      10.1489      15.8105 
     2.93843      10.6595      16.3211 
     3.23061       12.063      17.7246 
    0.665355      3.70144      9.36303 
     3.39647       12.936      18.5976 
     3.30773      12.1543      17.8159 
    0.913865      4.86696      10.5285 
     3.23072      12.2266      17.8882 
     2.77803      10.3265      15.9881 
     3.00375      11.3982      17.0597 
     1.12485      5.85007      11.5117 
     1.86783      8.09245       13.754 
     2.89342      10.9502      16.6118 
